"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1930-07-23,21.6600
1930-07-24,21.3800
1930-07-25,21.5000
1930-07-26,21.7100
1930-07-28,21.8200
1930-07-29,21.6500
1930-07-30,21.0800
1930-07-31,21.2100
1930-08-01,21.1100
1930-08-02,21.2300
1930-08-04,21.5200
1930-08-05,21.5200
1930-08-06,21.1800
1930-08-07,21.0600
1930-08-08,20.2700
1930-08-09,20.2500
1930-08-11,20.4000
1930-08-12,19.8800
1930-08-13,20.1500
1930-08-14,20.1600
1930-08-15,20.7000
1930-08-16,20.6500
1930-08-18,20.5400
1930-08-19,20.7400
1930-08-20,20.8500
1930-08-21,20.6400
1930-08-22,20.7900
1930-08-23,20.9000
1930-08-25,20.6800
1930-08-26,20.9800
1930-08-27,21.1400
1930-08-28,21.1300
1930-08-29,21.3700
1930-09-02,21.3800
1930-09-03,21.1700
1930-09-04,21.0200
1930-09-05,21.3400
1930-09-06,21.6500
1930-09-08,21.6300
1930-09-09,21.7600
1930-09-10,21.8600
1930-09-11,21.7200
1930-09-12,21.5000
1930-09-13,21.4700
1930-09-15,21.1900
1930-09-16,21.2200
1930-09-17,21.2900
1930-09-18,21.0600
1930-09-19,20.6800
1930-09-20,20.7300
1930-09-22,20.1700
1930-09-23,20.4400
1930-09-24,20.1100
1930-09-25,19.7300
1930-09-26,19.4300
1930-09-27,19.2900
1930-09-29,18.8800
1930-09-30,18.5900
1930-10-01,19.4200
1930-10-02,19.1800
1930-10-03,19.4200
1930-10-04,19.2300
1930-10-06,18.6100
1930-10-07,18.6200
1930-10-08,18.4000
1930-10-09,17.6700
1930-10-10,18.1100
1930-10-11,17.6300
1930-10-14,17.9100
1930-10-15,18.2000
1930-10-16,17.8800
1930-10-17,17.1600
1930-10-18,16.9800
1930-10-20,17.5700
1930-10-21,17.0500
1930-10-22,16.9000
1930-10-23,17.1400
1930-10-24,17.7400
1930-10-25,17.6400
1930-10-27,17.7800
1930-10-28,17.8600
1930-10-29,17.5500
1930-10-30,17.3400
1930-10-31,16.9400
1930-11-01,17.0900
1930-11-03,17.1300
1930-11-05,16.6200
1930-11-06,16.6500
1930-11-07,16.0900
1930-11-08,15.8900
1930-11-10,15.5400
1930-11-11,15.7900
1930-11-12,16.1400
1930-11-13,16.5600
1930-11-14,16.8900
1930-11-15,17.0500
1930-11-17,16.4800
1930-11-18,16.6600
1930-11-19,17.0100
1930-11-20,16.9400
1930-11-21,17.2000
1930-11-22,17.0000
1930-11-24,17.0500
1930-11-25,16.8500
1930-11-26,16.6100
1930-11-28,16.3800
1930-11-29,16.5700
1930-12-01,16.8000
1930-12-02,16.9600
1930-12-03,16.6700
1930-12-04,16.4200
1930-12-05,16.4300
1930-12-06,16.2200
1930-12-08,15.9700
1930-12-09,15.9800
1930-12-10,15.7300
1930-12-11,15.5500
1930-12-12,15.4300
1930-12-13,15.0000
1930-12-15,14.9400
1930-12-16,14.4400
1930-12-17,15.1100
1930-12-18,15.2200
1930-12-19,15.3900
1930-12-20,15.3900
1930-12-22,14.8800
1930-12-23,14.9600
1930-12-24,15.1600
1930-12-26,14.8500
1930-12-27,14.7600
1930-12-29,14.7200
1930-12-30,15.0600
1930-12-31,15.3400
1931-01-02,15.8500
1931-01-03,16.0800
1931-01-05,15.9300
1931-01-06,16.1300
1931-01-07,15.0900
1931-01-08,16.2300
1931-01-09,16.0700
1931-01-10,16.1600
1931-01-12,15.8400
1931-01-13,15.6500
1931-01-14,15.8300
1931-01-15,15.4600
1931-01-16,15.6500
1931-01-17,15.5600
1931-01-19,15.4600
1931-01-20,15.7800
1931-01-21,15.7800
1931-01-22,16.0700
1931-01-23,16.4200
1931-01-24,16.2700
1931-01-26,16.4000
1931-01-27,16.3200
1931-01-28,16.0200
1931-01-29,16.1700
1931-01-30,16.1900
1931-01-31,16.0900
1931-02-02,16.1600
1931-02-03,16.2400
1931-02-04,16.3300
1931-02-05,16.2200
1931-02-06,16.2700
1931-02-07,16.5100
1931-02-09,16.9600
1931-02-10,17.2300
1931-02-11,17.2800
1931-02-13,17.1800
1931-02-14,17.1600
1931-02-16,17.3400
1931-02-17,17.0500
1931-02-18,17.2000
1931-02-19,17.4300
1931-02-20,17.7100
1931-02-21,17.9300
1931-02-24,18.1700
1931-02-25,17.9700
1931-02-26,18.1700
1931-02-27,18.0300
