"MacroTrends Data Download"
"S&P 500 Index: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
1952-12-18,26.0300
1952-12-19,26.1500
1952-12-22,26.3000
1952-12-23,26.1900
1952-12-24,26.2100
1952-12-26,26.2500
1952-12-29,26.4000
1952-12-30,26.5900
1952-12-31,26.5700
1953-01-02,26.5400
1953-01-05,26.6600
1953-01-06,26.4800
1953-01-07,26.3700
1953-01-08,26.3300
1953-01-09,26.0800
1953-01-12,25.8600
1953-01-13,26.0200
1953-01-14,26.0800
1953-01-15,26.1300
1953-01-16,26.0200
1953-01-19,26.0100
1953-01-20,26.1400
1953-01-21,26.0900
1953-01-22,26.1200
1953-01-23,26.0700
1953-01-26,26.0200
1953-01-27,26.0500
1953-01-28,26.1300
1953-01-29,26.2000
1953-01-30,26.3800
1953-02-02,26.5100
1953-02-03,26.5400
1953-02-04,26.4200
1953-02-05,26.1500
1953-02-06,26.5100
1953-02-09,25.6900
1953-02-10,25.6200
1953-02-11,25.6400
1953-02-13,25.7400
1953-02-16,25.6500
1953-02-17,25.5000
1953-02-18,25.4800
1953-02-19,25.5700
1953-02-20,25.6300
1953-02-24,25.7500
1953-02-25,25.9100
1953-02-26,25.9500
1953-02-27,25.9000
1953-03-02,25.9300
1953-03-03,26.0000
1953-03-04,25.7800
1953-03-05,25.7900
1953-03-06,25.8400
1953-03-09,25.8300
1953-03-10,25.9100
1953-03-11,26.1200
1953-03-12,26.1300
1953-03-13,26.1800
1953-03-16,26.2200
1953-03-17,26.3300
1953-03-18,26.2400
1953-03-19,26.2200
1953-03-20,26.1800
1953-03-23,26.0200
1953-03-24,26.1700
1953-03-25,26.1000
1953-03-26,25.9500
1953-03-27,25.9900
1953-03-30,25.6100
1953-03-31,25.2900
1953-04-01,25.2500
1953-04-02,25.2300
1953-04-06,24.6100
1953-04-07,24.7100
1953-04-08,24.9300
1953-04-09,24.8800
1953-04-10,24.8200
1953-04-13,24.7700
1953-04-14,24.8600
1953-04-15,24.9600
1953-04-16,24.9100
1953-04-17,24.6200
1953-04-20,24.7300
1953-04-21,24.6700
1953-04-22,24.4600
1953-04-23,24.1900
1953-04-24,24.2000
1953-04-27,24.3400
1953-04-28,24.5200
1953-04-29,24.6800
1953-04-30,24.6200
1953-05-01,24.7300
1953-05-04,25.0000
1953-05-05,25.0300
1953-05-06,25.0000
1953-05-07,24.9000
1953-05-08,24.9000
1953-05-11,24.9100
1953-05-12,24.7400
1953-05-13,24.7100
1953-05-14,24.8500
1953-05-15,24.8400
1953-05-18,24.7500
1953-05-19,24.7000
1953-05-20,24.9300
1953-05-21,25.0600
1953-05-22,25.0300
1953-05-25,24.9900
1953-05-26,24.8700
1953-05-27,24.6400
1953-05-28,24.4600
1953-05-29,24.5400
1953-06-01,24.1500
1953-06-02,24.2200
1953-06-03,24.1800
1953-06-04,24.0300
1953-06-05,24.0900
1953-06-08,24.0100
1953-06-09,23.6000
1953-06-10,23.5400
1953-06-11,23.7500
1953-06-12,23.8200
1953-06-15,23.6200
1953-06-16,23.5500
1953-06-17,23.8500
1953-06-18,23.8400
1953-06-19,23.8400
1953-06-22,23.9600
1953-06-23,24.1200
1953-06-24,24.0900
1953-06-25,24.1900
1953-06-26,24.2100
1953-06-29,24.1400
1953-06-30,24.1400
1953-07-01,24.2400
1953-07-02,24.3100
1953-07-03,24.3600
1953-07-06,24.3800
1953-07-07,24.5100
1953-07-08,24.5000
1953-07-09,24.4300
1953-07-10,24.4100
1953-07-13,24.1700
1953-07-14,24.0800
1953-07-15,24.1500
1953-07-16,24.1800
1953-07-17,24.3500
1953-07-20,24.2200
1953-07-21,24.1600
1953-07-22,24.1900
1953-07-23,24.2300
1953-07-24,24.2300
1953-07-27,24.0700
1953-07-28,24.1100
1953-07-29,24.2600
1953-07-30,24.4900
1953-07-31,24.7500
1953-08-03,24.8400
1953-08-04,24.7800
1953-08-05,24.6800
1953-08-06,24.8000
1953-08-07,24.7800
1953-08-10,24.7500
1953-08-11,24.7200
1953-08-12,24.7800
1953-08-13,24.7300
1953-08-14,24.6200
1953-08-17,24.5600
1953-08-18,24.4600
1953-08-19,24.3100
1953-08-20,24.2900
1953-08-21,24.3500
1953-08-24,24.0900
1953-08-25,23.9300
1953-08-26,23.8600
1953-08-27,23.7900
1953-08-28,23.7400
1953-08-31,23.3200
1953-09-01,23.4200
1953-09-02,23.5600
1953-09-03,23.5100
1953-09-04,23.5700
1953-09-08,23.6100
1953-09-09,23.6500
1953-09-10,23.4100
1953-09-11,23.1400
1953-09-14,22.7100
1953-09-15,22.9000
1953-09-16,23.0100
1953-09-17,23.0700
1953-09-18,22.9500
1953-09-21,22.8800
1953-09-22,23.2000
1953-09-23,23.2300
1953-09-24,23.2400
1953-09-25,23.3000
1953-09-28,23.4500
1953-09-29,23.4900
1953-09-30,23.3500
1953-10-01,23.4900
1953-10-02,23.5900
1953-10-05,23.4800
1953-10-06,23.3900
1953-10-07,23.5800
1953-10-08,23.6200
1953-10-09,23.6600
1953-10-13,23.5700
1953-10-14,23.6800
1953-10-15,23.9500
1953-10-16,24.1400
1953-10-19,24.1600
1953-10-20,24.1700
1953-10-21,24.1900
1953-10-22,24.3000
1953-10-23,24.3500
1953-10-26,24.3100
1953-10-27,24.2600
1953-10-28,24.2900
1953-10-29,24.5800
1953-10-30,24.5400
1953-11-02,24.6600
1953-11-04,24.5100
1953-11-05,24.6400
1953-11-06,24.6100
1953-11-09,24.6600
1953-11-10,24.3700
1953-11-12,24.4600
1953-11-13,24.5400
1953-11-16,24.3800
1953-11-17,24.2500
1953-11-18,24.2900
1953-11-19,24.4000
1953-11-20,24.4400
1953-11-23,24.3600
1953-11-24,24.5000
1953-11-25,24.5200
1953-11-27,24.6600
1953-11-30,24.7600
1953-12-01,24.7800
1953-12-02,24.9500
1953-12-03,24.9700
1953-12-04,24.9800
1953-12-07,24.9500
1953-12-08,24.8700
1953-12-09,24.8400
1953-12-10,24.7800
1953-12-11,24.7600
1953-12-14,24.6900
1953-12-15,24.7100
1953-12-16,24.9600
1953-12-17,24.9400
1953-12-18,24.9900
1953-12-21,24.9500
1953-12-22,24.7600
1953-12-23,24.6900
1953-12-24,24.8000
1953-12-28,24.7100
1953-12-29,24.5500
1953-12-30,24.7600
1953-12-31,24.8100
1954-01-04,24.9500
1954-01-05,25.1000
1954-01-06,25.1400
1954-01-07,25.0600
1954-01-08,24.9300
1954-01-11,24.8000
1954-01-12,24.9300
1954-01-13,25.0700
1954-01-14,25.1900
1954-01-15,25.4300
1954-01-18,25.4300
1954-01-19,25.6800
1954-01-20,25.7500
1954-01-21,25.7900
1954-01-22,25.8500
1954-01-25,25.9300
1954-01-26,26.0900
1954-01-27,26.0100
1954-01-28,26.0200
1954-01-29,26.0800
1954-02-01,25.9900
1954-02-02,25.9200
1954-02-03,26.0100
1954-02-04,26.2000
1954-02-05,26.3000
1954-02-08,26.2300
1954-02-09,26.1700
1954-02-10,26.1400
1954-02-11,26.0600
1954-02-12,26.1200
1954-02-15,26.0400
1954-02-16,25.8100
1954-02-17,25.8600
1954-02-18,25.8600
1954-02-19,25.9200
1954-02-23,25.8300
1954-02-24,25.8300
1954-02-25,25.9100
1954-02-26,26.1500
1954-03-01,26.2500
1954-03-02,26.3200
1954-03-03,26.3200
1954-03-04,26.4100
1954-03-05,26.5200
1954-03-08,26.4500
1954-03-09,26.5100
1954-03-10,26.5700
1954-03-11,26.6900
1954-03-12,26.6900
1954-03-15,26.5700
1954-03-16,26.5600
1954-03-17,26.6200
1954-03-18,26.7300
1954-03-19,26.8100
1954-03-22,26.7900
1954-03-23,26.6000
1954-03-24,26.4700
1954-03-25,26.4200
1954-03-26,26.5600
1954-03-29,26.6600
1954-03-30,26.6900
1954-03-31,26.9400
1954-04-01,27.1700
1954-04-02,27.2100
1954-04-05,27.2600
1954-04-06,27.0100
1954-04-07,27.1100
1954-04-08,27.3800
1954-04-09,27.3800
1954-04-12,27.5700
1954-04-13,27.6400
1954-04-14,27.8500
1954-04-15,27.9400
1954-04-19,27.7600
1954-04-20,27.7500
1954-04-21,27.6400
1954-04-22,27.6800
1954-04-23,27.7800
1954-04-26,27.8800
1954-04-27,27.7100
1954-04-28,27.7600
1954-04-29,28.1800
1954-04-30,28.2600
1954-05-03,28.2100
1954-05-04,28.2800
1954-05-05,28.2900
1954-05-06,28.5100
1954-05-07,28.6500
1954-05-10,28.6200
1954-05-11,28.4900
1954-05-12,28.7200
1954-05-13,28.5600
1954-05-14,28.8000
1954-05-17,28.8400
1954-05-18,28.8500
1954-05-19,28.7200
1954-05-20,28.8200
1954-05-21,28.9900
1954-05-24,29.0000
1954-05-25,28.9300
1954-05-26,29.1700
1954-05-27,29.0500
1954-05-28,29.1900
1954-06-01,29.1900
1954-06-02,29.1600
1954-06-03,29.1500
1954-06-04,29.1000
1954-06-07,28.9900
1954-06-08,28.3400
1954-06-09,28.1500
1954-06-10,28.3400
1954-06-11,28.5800
1954-06-14,28.6200
1954-06-15,28.8300
1954-06-16,29.0400
1954-06-17,28.9600
1954-06-18,29.0400
1954-06-21,29.0600
1954-06-22,29.0800
1954-06-23,29.1300
1954-06-24,29.2600
1954-06-25,29.2000
1954-06-28,29.2800
1954-06-29,29.4300
1954-06-30,29.2100
1954-07-01,29.2100
1954-07-02,29.5900
1954-07-06,29.9200
1954-07-07,29.9400
1954-07-08,29.9400
1954-07-09,30.1400
1954-07-12,30.1200
1954-07-13,30.0200
1954-07-14,30.0900
1954-07-15,30.1900
1954-07-16,30.0600
1954-07-19,29.9800
1954-07-20,29.8400
1954-07-21,30.0300
1954-07-22,30.2700
1954-07-23,30.3100
1954-07-26,30.3400
1954-07-27,30.5200
1954-07-28,30.5800
1954-07-29,30.6900
1954-07-30,30.8800
1954-08-02,30.9900
1954-08-03,30.9300
1954-08-04,30.9000
1954-08-05,30.7700
1954-08-06,30.3800
1954-08-09,30.1200
1954-08-10,30.3700
1954-08-11,30.7200
1954-08-12,30.5900
1954-08-13,30.7200
1954-08-16,31.0500
1954-08-17,31.1200
1954-08-18,31.0900
1954-08-19,31.1600
1954-08-20,31.2100
1954-08-23,31.0000
1954-08-24,30.8700
1954-08-25,30.6500
1954-08-26,30.5700
1954-08-27,30.6600
1954-08-30,30.3500
1954-08-31,29.8300
1954-09-01,30.0400
1954-09-02,30.2700
1954-09-03,30.5000
1954-09-07,30.6600
1954-09-08,30.6800
1954-09-09,30.7300
1954-09-10,30.8400
1954-09-13,31.1200
1954-09-14,31.2800
1954-09-15,31.2900
1954-09-16,31.4600
1954-09-17,31.7100
1954-09-20,31.5700
1954-09-21,31.7900
1954-09-22,32.0000
1954-09-23,32.1800
1954-09-24,32.4000
1954-09-27,32.5300
1954-09-28,32.6900
1954-09-29,32.5000
1954-09-30,32.3100
1954-10-01,32.2900
1954-10-04,32.4700
1954-10-05,32.6300
1954-10-06,32.7600
1954-10-07,32.6900
1954-10-08,32.6700
1954-10-11,32.4100
1954-10-12,32.2800
1954-10-13,32.2700
1954-10-14,31.8800
1954-10-15,31.7100
1954-10-18,31.8300
1954-10-19,31.9100
1954-10-20,32.1700
1954-10-21,32.1300
1954-10-22,32.1300
1954-10-25,31.9600
1954-10-26,31.9400
1954-10-27,32.0200
1954-10-28,31.8800
1954-10-29,31.6800
1954-11-01,31.7900
1954-11-03,32.4400
1954-11-04,32.8200
1954-11-05,32.7100
1954-11-08,33.0200
1954-11-09,33.1500
1954-11-10,33.1800
1954-11-11,33.4700
1954-11-12,33.5400
1954-11-15,33.4700
1954-11-16,33.5700
1954-11-17,33.6300
1954-11-18,33.4400
1954-11-19,33.4500
1954-11-22,33.5800
1954-11-23,34.0300
1954-11-24,34.2200
1954-11-26,34.5500
1954-11-29,34.5400
1954-11-30,34.2400
1954-12-01,33.9900
1954-12-02,34.1800
1954-12-03,34.4900
1954-12-06,34.7600
1954-12-07,34.9200
1954-12-08,34.8600
1954-12-09,34.6900
1954-12-10,34.5600
1954-12-13,34.5900
1954-12-14,34.3500
1954-12-15,34.5600
1954-12-16,34.9300
1954-12-17,35.9200
1954-12-20,35.3300
1954-12-21,35.3800
1954-12-22,35.3400
1954-12-23,35.3700
1954-12-27,35.0700
1954-12-28,35.4300
1954-12-29,35.7400
1954-12-30,35.7400
1954-12-31,35.9800
1955-01-03,36.7500
1955-01-04,36.4200
1955-01-05,35.5200
1955-01-06,35.0400
1955-01-07,35.3300
1955-01-10,35.7900
1955-01-11,35.6800
1955-01-12,35.5800
1955-01-13,35.4300
1955-01-14,35.2800
1955-01-17,34.5800
1955-01-18,34.8000
1955-01-19,34.9600
1955-01-20,35.1300
1955-01-21,35.4400
1955-01-24,35.5200
1955-01-25,35.5100
1955-01-26,35.9500
1955-01-27,35.9900
1955-01-28,36.1900
1955-01-31,36.6300
1955-02-01,36.7200
1955-02-02,36.6100
1955-02-03,36.4400
1955-02-04,36.9600
1955-02-07,36.9600
1955-02-08,36.4600
1955-02-09,36.7500
1955-02-10,37.0800
1955-02-11,37.1500
1955-02-14,36.8900
1955-02-15,36.8900
1955-02-16,36.7700
1955-02-17,36.8400
1955-02-18,36.8900
1955-02-21,36.8500
1955-02-23,36.8200
1955-02-24,36.6200
1955-02-25,36.5700
1955-02-28,36.7600
1955-03-01,36.8300
1955-03-02,37.1500
1955-03-03,37.2900
1955-03-04,37.5200
1955-03-07,37.2800
1955-03-08,36.5800
1955-03-09,36.2200
1955-03-10,36.4500
1955-03-11,35.8200
1955-03-14,34.9600
1955-03-15,35.7100
1955-03-16,35.9800
1955-03-17,36.1200
1955-03-18,36.1800
1955-03-21,35.9500
1955-03-22,36.1700
1955-03-23,36.6400
1955-03-24,36.9300
1955-03-25,36.9600
1955-03-28,36.8300
1955-03-29,36.8500
1955-03-30,36.5200
1955-03-31,36.5800
1955-04-01,36.9500
1955-04-04,36.8300
1955-04-05,36.9800
1955-04-06,37.1700
1955-04-07,37.3400
1955-04-11,37.4400
1955-04-12,37.6600
1955-04-13,37.7100
1955-04-14,37.7900
1955-04-15,37.9600
1955-04-18,38.2700
1955-04-19,38.2200
1955-04-20,38.2800
1955-04-21,38.3200
1955-04-22,38.0100
1955-04-25,38.1100
1955-04-26,38.3100
1955-04-27,38.1100
1955-04-28,37.6800
1955-04-29,37.9600
1955-05-02,38.0400
1955-05-03,37.7000
1955-05-04,37.6400
1955-05-05,37.8200
1955-05-06,37.8900
1955-05-09,37.9300
1955-05-10,37.8500
1955-05-11,37.4200
1955-05-12,37.2000
1955-05-13,37.4400
1955-05-16,37.0200
1955-05-17,36.9700
1955-05-18,37.2800
1955-05-19,37.4900
1955-05-20,37.7400
1955-05-23,37.4800
1955-05-24,37.4600
1955-05-25,37.6000
1955-05-26,37.8500
1955-05-27,37.9300
1955-05-31,37.9100
1955-06-01,37.9600
1955-06-02,38.0100
1955-06-03,38.3700
1955-06-06,39.6900
1955-06-07,39.9600
1955-06-08,39.2200
1955-06-09,39.0100
1955-06-10,39.2500
1955-06-13,39.6200
1955-06-14,39.6700
1955-06-15,39.8900
1955-06-16,39.9600
1955-06-17,40.1000
1955-06-20,40.1400
1955-06-21,40.5100
1955-06-22,40.6000
1955-06-23,40.7500
1955-06-24,40.9600
1955-06-27,40.9900
1955-06-28,40.7700
1955-06-29,40.7900
1955-06-30,41.0300
1955-07-01,41.1900
1955-07-05,41.6900
1955-07-06,43.1800
1955-07-07,42.5800
1955-07-08,42.6400
1955-07-11,42.7500
1955-07-12,42.7500
1955-07-13,42.2400
1955-07-14,42.2500
1955-07-15,42.4000
1955-07-18,42.3600
1955-07-19,42.1000
1955-07-20,42.2300
1955-07-21,42.6400
1955-07-22,43.0000
1955-07-25,43.4800
1955-07-26,43.5800
1955-07-27,43.7600
1955-07-28,43.5000
1955-07-29,43.5200
1955-08-01,42.9300
1955-08-02,43.0300
1955-08-03,43.0900
1955-08-04,42.3600
1955-08-05,42.5600
1955-08-08,42.3100
1955-08-09,41.7500
1955-08-10,41.7400
1955-08-11,42.1300
1955-08-12,42.2100
1955-08-15,42.1700
1955-08-16,41.8600
1955-08-17,41.9000
1955-08-18,41.8400
1955-08-19,42.0200
1955-08-22,41.9800
1955-08-23,42.5500
1955-08-24,42.6100
1955-08-25,42.8000
1955-08-26,42.9900
1955-08-29,42.9600
1955-08-30,42.9200
1955-08-31,43.1800
1955-09-01,43.3700
1955-09-02,43.6000
1955-09-06,43.8600
1955-09-07,43.8500
1955-09-08,43.8800
1955-09-09,43.8900
1955-09-12,44.1900
1955-09-13,44.8000
1955-09-14,44.9900
1955-09-15,44.7500
1955-09-16,45.0900
1955-09-19,45.1600
1955-09-20,45.1300
1955-09-21,45.3900
1955-09-22,45.3900
1955-09-23,45.6300
1955-09-26,42.6100
1955-09-27,43.5800
1955-09-28,44.3100
1955-09-29,44.0300
1955-09-30,43.6700
1955-10-03,42.4900
1955-10-04,42.8200
1955-10-05,42.9900
1955-10-06,42.7000
1955-10-07,42.3800
1955-10-10,41.1500
1955-10-11,40.8000
1955-10-12,41.5200
1955-10-13,41.3900
1955-10-14,41.2200
1955-10-17,41.3500
1955-10-18,41.6500
1955-10-19,42.0700
1955-10-20,42.5900
1955-10-21,42.5900
1955-10-24,42.9100
1955-10-25,42.6300
1955-10-26,42.2900
1955-10-27,42.3400
1955-10-28,42.3700
1955-10-31,42.3400
1955-11-01,42.2800
1955-11-02,42.3500
1955-11-03,43.2400
1955-11-04,43.9600
1955-11-07,44.1500
1955-11-09,44.6100
1955-11-10,44.7200
1955-11-11,45.2400
1955-11-14,46.4100
1955-11-15,46.2100
1955-11-16,45.9100
1955-11-17,45.5900
1955-11-18,45.5400
1955-11-21,45.2200
1955-11-22,45.6600
1955-11-23,45.7200
1955-11-25,45.6800
1955-11-28,45.3800
1955-11-29,45.5600
1955-11-30,45.5100
1955-12-01,45.3500
1955-12-02,45.4400
1955-12-05,45.7000
1955-12-06,45.7000
1955-12-07,45.5500
1955-12-08,45.8200
1955-12-09,45.8900
1955-12-12,45.4200
1955-12-13,45.4500
1955-12-14,45.0700
1955-12-15,45.0600
1955-12-16,45.1300
1955-12-19,45.0200
1955-12-20,44.9500
1955-12-21,45.8400
1955-12-22,45.4100
1955-12-23,45.5000
1955-12-27,45.2200
1955-12-28,45.0500
1955-12-29,45.1500
1955-12-30,45.4800
1956-01-03,45.1600
1956-01-04,45.0000
1956-01-05,44.9500
1956-01-06,45.1400
1956-01-09,44.5100
1956-01-10,44.1600
1956-01-11,44.3800
1956-01-12,44.7500
1956-01-13,44.6700
1956-01-16,44.1400
1956-01-17,44.4700
1956-01-18,44.1700
1956-01-19,43.7200
1956-01-20,43.2200
1956-01-23,43.1100
1956-01-24,43.6500
1956-01-25,43.7200
1956-01-26,43.4600
1956-01-27,43.3500
1956-01-30,43.5000
1956-01-31,43.8200
1956-02-01,44.0300
1956-02-02,44.2200
1956-02-03,44.7800
1956-02-06,44.8100
1956-02-07,44.6000
1956-02-08,44.1600
1956-02-09,43.6600
1956-02-10,43.6400
1956-02-13,43.5800
1956-02-14,43.4200
1956-02-15,44.0400
1956-02-16,43.8200
1956-02-17,44.5200
1956-02-20,44.4500
1956-02-21,44.5600
1956-02-23,44.9500
1956-02-24,45.3200
1956-02-27,45.2700
1956-02-28,45.4300
1956-02-29,45.3400
1956-03-01,45.5400
1956-03-02,45.8100
1956-03-05,46.0600
1956-03-06,46.0400
1956-03-07,46.0100
1956-03-08,46.1200
1956-03-09,46.7000
1956-03-12,47.1300
1956-03-13,47.0600
1956-03-14,47.5300
1956-03-15,47.9900
1956-03-16,48.1400
1956-03-19,48.5900
1956-03-20,48.8700
1956-03-21,48.2300
1956-03-22,48.7200
1956-03-23,48.8300
1956-03-26,48.6200
1956-03-27,48.2500
1956-03-28,48.5100
1956-03-29,48.4800
1956-04-02,48.7000
1956-04-03,48.5300
1956-04-04,48.8000
1956-04-05,48.5700
1956-04-06,48.8500
1956-04-09,48.6100
1956-04-10,47.9300
1956-04-11,48.3100
1956-04-12,48.0200
1956-04-13,47.9500
1956-04-16,47.9600
1956-04-17,47.9300
1956-04-18,47.7400
1956-04-19,47.5700
1956-04-20,47.7600
1956-04-23,47.6500
1956-04-24,47.2600
1956-04-25,47.0900
1956-04-26,47.4900
1956-04-27,47.9900
1956-04-30,48.3800
1956-05-01,48.1600
1956-05-02,48.1700
1956-05-03,48.3400
1956-05-04,48.5100
1956-05-07,48.2200
1956-05-08,48.0200
1956-05-09,47.9400
1956-05-10,47.1600
1956-05-11,47.1200
1956-05-14,46.8600
1956-05-15,46.3700
1956-05-16,46.0500
1956-05-17,46.6100
1956-05-18,46.3900
1956-05-21,45.9900
1956-05-22,45.2600
1956-05-23,45.0200
1956-05-24,44.6000
1956-05-25,44.6200
1956-05-28,44.1000
1956-05-29,45.1100
1956-05-31,45.2000
1956-06-01,45.5800
1956-06-04,45.8500
1956-06-05,45.8600
1956-06-06,45.6300
1956-06-07,45.9900
1956-06-08,45.1400
1956-06-11,45.7100
1956-06-12,46.3600
1956-06-13,46.4200
1956-06-14,46.3100
1956-06-15,46.3700
1956-06-18,46.1700
1956-06-19,46.2200
1956-06-20,46.4100
1956-06-21,46.7300
1956-06-22,46.5900
1956-06-25,46.4100
1956-06-26,46.7200
1956-06-27,47.0700
1956-06-28,47.1300
1956-06-29,46.9700
1956-07-02,46.9300
1956-07-03,47.3200
1956-07-05,47.8000
1956-07-06,48.0400
1956-07-09,48.2500
1956-07-10,48.5400
1956-07-11,48.6900
1956-07-12,48.5800
1956-07-13,48.7200
1956-07-16,49.1400
1956-07-17,49.3100
1956-07-18,49.3000
1956-07-19,49.3200
1956-07-20,49.3500
1956-07-23,49.3300
1956-07-24,49.3300
1956-07-25,49.4400
1956-07-26,49.4800
1956-07-27,49.0800
1956-07-30,49.0000
1956-07-31,49.3900
1956-08-01,49.6200
1956-08-02,49.6400
1956-08-03,49.6400
1956-08-06,48.9600
1956-08-07,49.1600
1956-08-08,49.3600
1956-08-09,49.3200
1956-08-10,49.0900
1956-08-13,48.5800
1956-08-14,48.0000
1956-08-15,48.9900
1956-08-16,48.8800
1956-08-17,48.8200
1956-08-20,48.2500
1956-08-21,47.8900
1956-08-22,47.4200
1956-08-23,48.0000
1956-08-24,47.9500
1956-08-27,47.6600
1956-08-28,47.5700
1956-08-29,47.3600
1956-08-30,46.9400
1956-08-31,47.5100
1956-09-04,47.8900
1956-09-05,48.0200
1956-09-06,48.1000
1956-09-07,47.8100
1956-09-10,47.5600
1956-09-11,47.3800
1956-09-12,47.0500
1956-09-13,46.0900
1956-09-14,47.2100
1956-09-17,47.1000
1956-09-18,46.7900
1956-09-19,46.2400
1956-09-20,46.2100
1956-09-21,46.5800
1956-09-24,46.4000
1956-09-25,45.7500
1956-09-26,45.8200
1956-09-27,45.6000
1956-09-28,45.3500
1956-10-01,44.7000
1956-10-02,45.5200
1956-10-03,46.2800
1956-10-04,46.2900
1956-10-05,46.4500
1956-10-08,46.4300
1956-10-09,46.2000
1956-10-10,46.8400
1956-10-11,46.8100
1956-10-12,47.0000
1956-10-15,46.8600
1956-10-16,46.6200
1956-10-17,46.2600
1956-10-18,46.3400
1956-10-19,46.2400
1956-10-22,46.2300
1956-10-23,46.1200
1956-10-24,45.9300
1956-10-25,45.8500
1956-10-26,46.2700
1956-10-29,46.4000
1956-10-30,46.3700
1956-10-31,45.5800
1956-11-01,46.5200
1956-11-02,46.9800
1956-11-05,47.6000
1956-11-07,47.1100
1956-11-08,46.7300
1956-11-09,46.3400
1956-11-12,46.4900
1956-11-13,46.2700
1956-11-14,46.0100
1956-11-15,45.7200
1956-11-16,45.7400
1956-11-19,45.2900
1956-11-20,44.8900
1956-11-21,44.6700
1956-11-23,45.1400
1956-11-26,44.8700
1956-11-27,44.9100
1956-11-28,44.4300
1956-11-29,44.3800
1956-11-30,45.0800
1956-12-03,45.9800
1956-12-04,45.8400
1956-12-05,46.3900
1956-12-06,46.8100
1956-12-07,47.0400
1956-12-10,46.8000
1956-12-11,46.4800
1956-12-12,46.1300
1956-12-13,46.5000
1956-12-14,46.5400
1956-12-17,46.5400
1956-12-18,46.5400
1956-12-19,46.4300
1956-12-20,46.0700
1956-12-21,46.3700
1956-12-26,46.3900
1956-12-27,46.3500
1956-12-28,46.5600
1956-12-31,46.6700
1957-01-02,46.2000
1957-01-03,46.6000
1957-01-04,46.6600
1957-01-07,46.4200
1957-01-08,46.2500
1957-01-09,46.1600
1957-01-10,46.2700
1957-01-11,46.1800
1957-01-14,45.8600
1957-01-15,45.1800
1957-01-16,45.2300
1957-01-17,45.2200
1957-01-18,44.6400
1957-01-21,44.4000
1957-01-22,44.5300
1957-01-23,44.8700
1957-01-24,45.0300
1957-01-25,44.8200
1957-01-28,44.4900
1957-01-29,44.7100
1957-01-30,44.9100
1957-01-31,44.7200
1957-02-01,44.6200
1957-02-04,44.5300
1957-02-05,43.8900
1957-02-06,43.8200
1957-02-07,43.6200
1957-02-08,43.3200
1957-02-11,42.5700
1957-02-12,42.3900
1957-02-13,43.0400
1957-02-14,42.9900
1957-02-15,43.5100
1957-02-18,43.4600
1957-02-19,43.4900
1957-02-20,43.6300
1957-02-21,43.4800
1957-02-25,43.3800
1957-02-26,43.4500
1957-02-27,43.4100
1957-02-28,43.2600
1957-03-01,43.7400
1957-03-04,44.0600
1957-03-05,44.2200
1957-03-06,44.2300
1957-03-07,44.2100
1957-03-08,44.0700
1957-03-11,43.7800
1957-03-12,43.7500
1957-03-13,44.0400
1957-03-14,44.0700
1957-03-15,44.0500
1957-03-18,43.8500
1957-03-19,44.0400
1957-03-20,44.1000
1957-03-21,44.1100
1957-03-22,44.0600
1957-03-25,43.8800
1957-03-26,43.9100
1957-03-27,44.0900
1957-03-28,44.1800
1957-03-29,44.1100
1957-04-01,44.1400
1957-04-02,44.4200
1957-04-03,44.5400
1957-04-04,44.4400
1957-04-05,44.4900
1957-04-08,44.3900
1957-04-09,44.7900
1957-04-10,44.9800
1957-04-11,44.9800
1957-04-12,44.9800
1957-04-15,44.9500
1957-04-16,45.0200
1957-04-17,45.0800
1957-04-18,45.4100
1957-04-22,45.4800
1957-04-23,45.6500
1957-04-24,45.7200
1957-04-25,45.5600
1957-04-26,45.5000
1957-04-29,45.7300
1957-04-30,45.7400
1957-05-01,46.0200
1957-05-02,46.3900
1957-05-03,46.3400
1957-05-06,46.2700
1957-05-07,46.1300
1957-05-08,46.3100
1957-05-09,46.3600
1957-05-10,46.5900
1957-05-13,46.8800
1957-05-14,46.6700
1957-05-15,46.8300
1957-05-16,47.0200
1957-05-17,47.1500
1957-05-20,47.3500
1957-05-21,47.3300
1957-05-22,47.1400
1957-05-23,47.1500
1957-05-24,47.2100
1957-05-27,46.7800
1957-05-28,46.6900
1957-05-29,47.1100
1957-05-31,47.4300
1957-06-03,47.3700
1957-06-04,47.2800
1957-06-05,47.2700
1957-06-06,47.8000
1957-06-07,47.8500
1957-06-10,47.9000
1957-06-11,47.9400
1957-06-12,48.0500
1957-06-13,48.1400
1957-06-14,48.1500
1957-06-17,48.2400
1957-06-18,48.0400
1957-06-19,47.7200
1957-06-20,47.4300
1957-06-21,47.1500
1957-06-24,46.7800
1957-06-25,47.1500
1957-06-26,47.0900
1957-06-27,47.2600
1957-06-28,47.3700
1957-07-01,47.4300
1957-07-02,47.9000
1957-07-03,48.4600
1957-07-05,48.6900
1957-07-08,48.9000
1957-07-09,48.9000
1957-07-10,49.0000
1957-07-11,48.8600
